epoch,dice_coef,iou_score,learning_rate,loss,val_dice_coef,val_iou_score,val_loss
0,0.004330610856413841,0.002173113403841853,9.999999747378752e-05,1.6342147588729858,0.003919665236026049,0.0019666568841785192,1.5786893367767334
1,0.004386591725051403,0.0022014090791344643,9.999999747378752e-05,1.5399152040481567,0.003929887432605028,0.0019720953423529863,1.4851244688034058
2,0.004589007701724768,0.0023036065977066755,9.999999747378752e-05,1.4390382766723633,0.003940430469810963,0.0019778935238718987,1.384319543838501
3,0.004657740704715252,0.0023391135036945343,9.999999747378752e-05,1.34407639503479,0.003920167218893766,0.001968523021787405,1.288102388381958
4,0.005137352272868156,0.002581742824986577,9.999999747378752e-05,1.263120174407959,0.003918731585144997,0.001968594267964363,1.2325280904769897
5,0.005618831608444452,0.0028267446905374527,9.999999747378752e-05,1.199019432067871,0.0038588501047343016,0.0019397427095100284,1.1773360967636108
6,0.0068626911379396915,0.003458927618339658,9.999999747378752e-05,1.1495918035507202,0.003876273985952139,0.001950567471794784,1.127433180809021
7,0.009021781384944916,0.004561922047287226,9.999999747378752e-05,1.1117459535598755,0.004028411116451025,0.0020295262802392244,1.0955986976623535
8,0.012448078952729702,0.006321449764072895,9.999999747378752e-05,1.0817718505859375,0.004957681987434626,0.002503077732399106,1.0761065483093262
9,0.01784040778875351,0.009096070192754269,9.999999747378752e-05,1.0563966035842896,0.0039025999139994383,0.0019733132794499397,1.056128978729248
